timestamp,satellite,latitude,longitude,height_km
1737549185.039198,Starlink-550 0,40.6083,-13.5395,512.56
1737549185.039198,Starlink-550 1,29.5493,1.2988,510.46
1737549185.039198,Starlink-550 2,17.1591,13.0605,509.11
1737549185.039198,Starlink-550 3,4.1626,23.313,509.29
1737549185.039198,Starlink-550 4,-8.9609,33.2261,511.33
1737549185.039198,Starlink-550 5,-21.7845,43.8675,514.99
1737549185.039198,Starlink-550 6,-33.7705,56.5142,519.48
1737549185.039198,Starlink-550 7,-44.0482,72.9017,523.69
1737549185.039198,Starlink-550 8,-51.1215,94.7928,526.55
1737549185.039198,Starlink-550 9,-53.0549,121.2395,527.3
1737549185.039198,Starlink-550 10,-49.1048,146.5231,525.75
1737549185.039198,Starlink-550 11,-40.6789,166.3401,522.3
1737549185.039198,Starlink-550 12,-29.6627,-178.8256,517.86
1737549185.039198,Starlink-550 13,-17.3034,-167.0614,513.56
1737549185.039198,Starlink-550 14,-4.3216,-156.8069,510.41
1737549185.039198,Starlink-550 15,8.8052,-146.8943,509.03
1737549185.039198,Starlink-550 16,21.6494,-136.2555,509.46
1737549185.039198,Starlink-550 17,33.6711,-123.6103,511.17
1737549185.039198,Starlink-550 18,43.9939,-107.213,513.3
1737549185.039198,Starlink-550 19,51.1082,-85.2776,514.92
1737549185.039198,Starlink-550 20,53.0545,-58.7441,515.36
1737549185.039198,Starlink-550 21,49.0789,-33.3855,514.45
1737549185.039198,Starlink-550 22,35.3074,-0.6168,511.48
1737549185.039198,Starlink-550 23,23.4666,12.454,509.64
1737549185.039198,Starlink-550 24,10.7036,23.2962,508.98
1737549185.039198,Starlink-550 25,-2.4094,33.2465,510.08
1737549185.039198,Starlink-550 26,-15.4392,43.3846,513.0
1737549185.039198,Starlink-550 27,-27.9254,54.8439,517.2
1737549185.039198,Starlink-550 28,-39.1987,69.1143,521.69
1737549185.039198,Starlink-550 29,-48.1074,88.1025,525.35
1737549185.039198,Starlink-550 30,-52.8318,112.726,527.22
1737549185.039198,Starlink-550 31,-51.7645,139.4269,526.8
1737549185.039198,Starlink-550 32,-45.3223,162.1608,524.22
1737549185.039198,Starlink-550 33,-35.4005,179.2591,520.14
1737549185.039198,Starlink-550 34,-23.5973,-167.6694,515.62
1737549185.039198,Starlink-550 35,-10.8574,-156.8244,511.79
1737549185.039198,Starlink-550 36,2.2498,-146.8733,509.48
1737549185.039198,Starlink-550 37,15.2916,-136.737,509.04
