source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
1380,888,1.250000,0.124225,0.155281,True,0.154799,-0.000482,27.000000,10.000000,37241639.445671,46407696.384596,6.067323
1380,888,1.500000,0.124225,0.186337,True,0.181716,-0.004621,37.000000,6.000000,37241639.445671,54477234.289234,6.180684
1380,888,2.000000,0.124225,0.248449,True,0.181716,-0.066733,37.000000,6.000000,37241639.445671,54477234.289234,6.184903
1101,951,1.250000,0.048274,0.060342,True,0.060096,-0.000246,11.000000,1.000000,14472106.078272,18016275.622731,6.232752
1101,951,1.500000,0.048274,0.072411,True,0.072622,0.000211,11.000000,3.000000,14472106.078272,21771436.137031,6.285915
1101,951,2.000000,0.048274,0.096547,True,0.099669,0.003122,20.000000,0.000000,14472106.078272,29880126.954720,6.453617
86,990,1.250000,0.111211,0.139013,True,0.136575,-0.002439,33.000000,6.000000,33340095.406695,40944016.901519,5.393226
86,990,1.500000,0.111211,0.166816,True,0.149440,-0.017376,33.000000,8.000000,33340095.406695,44800894.721648,5.579117
86,990,2.000000,0.111211,0.222421,True,0.149440,-0.072981,33.000000,8.000000,33340095.406695,44800894.721648,5.400409
1205,710,1.250000,0.143953,0.179941,True,0.180303,0.000361,36.000000,8.000000,43156040.888922,54053368.622590,6.059873
1205,710,1.500000,0.143953,0.215930,True,0.189831,-0.026099,38.000000,8.000000,43156040.888922,56909907.357652,6.033314
1205,710,2.000000,0.143953,0.287906,True,0.189831,-0.098075,38.000000,8.000000,43156040.888922,56909907.357652,6.080961
645,821,1.250000,0.028995,0.036244,True,0.043642,0.007398,8.000000,3.000000,8692523.747721,13083417.360746,5.832209
645,821,1.500000,0.028995,0.043493,True,0.043642,0.000149,8.000000,3.000000,8692523.747721,13083417.360746,6.079239
645,821,2.000000,0.028995,0.057990,True,0.057843,-0.000147,10.000000,3.000000,8692523.747721,17340954.148594,5.870807
264,883,1.250000,0.111230,0.139038,True,0.139251,0.000213,13.000000,23.000000,33345985.538371,41746353.777692,5.121354
264,883,1.500000,0.111230,0.166845,True,0.147655,-0.019190,15.000000,25.000000,33345985.538371,44265822.786032,4.753592
264,883,2.000000,0.111230,0.222460,True,0.147655,-0.074806,15.000000,25.000000,33345985.538371,44265822.786032,4.868612
1524,656,1.250000,0.170284,0.212855,True,0.213032,0.000177,38.000000,11.000000,51049860.265829,63865362.517332,6.807108
1524,656,1.500000,0.170284,0.255426,True,0.213032,-0.042394,38.000000,11.000000,51049860.265829,63865362.517332,6.903037
1524,656,2.000000,0.170284,0.340568,True,0.213032,-0.127536,38.000000,11.000000,51049860.265829,63865362.517332,7.050078
1324,632,1.250000,0.170284,0.212854,True,0.192348,-0.020506,19.000000,28.000000,51049718.193776,57664454.061252,3.502299
1324,632,1.500000,0.170284,0.255425,True,0.192348,-0.063077,19.000000,28.000000,51049718.193776,57664454.061252,3.597313
1324,632,2.000000,0.170284,0.340567,True,0.192348,-0.148219,19.000000,28.000000,51049718.193776,57664454.061252,3.533860
1463,913,1.250000,0.080418,0.100523,True,0.096431,-0.004092,27.000000,1.000000,24108805.226398,28909161.466408,7.671015
1463,913,1.500000,0.080418,0.120627,True,0.118687,-0.001940,30.000000,2.000000,24108805.226398,35581615.071908,7.714693
1463,913,2.000000,0.080418,0.160837,True,0.140657,-0.020180,29.000000,5.000000,24108805.226398,42167761.903616,7.747187
1116,716,1.250000,0.085748,0.107186,True,0.109141,0.001956,22.000000,7.000000,25706751.807439,32719734.196880,4.365606
1116,716,1.500000,0.085748,0.128623,True,0.118088,-0.010535,21.000000,8.000000,25706751.807439,35401857.053185,4.301521
1116,716,2.000000,0.085748,0.171497,True,0.118088,-0.053409,21.000000,8.000000,25706751.807439,35401857.053185,4.475206
1070,906,1.250000,0.087194,0.108993,True,0.108275,-0.000718,22.000000,0.000000,26140239.818305,32459903.978919,7.391324
1070,906,1.500000,0.087194,0.130792,True,0.134195,0.003404,14.000000,12.000000,26140239.818305,40230705.987025,7.373885
1070,906,2.000000,0.087194,0.174389,True,0.134684,-0.039705,16.000000,12.000000,26140239.818305,40377330.056952,7.438480
1550,288,1.250000,0.103189,0.128986,True,0.126996,-0.001990,22.000000,6.000000,30935315.197837,38072495.319986,6.969068
1550,288,1.500000,0.103189,0.154784,True,0.136192,-0.018591,23.000000,7.000000,30935315.197837,40829439.620810,7.046984
1550,288,2.000000,0.103189,0.206378,True,0.136192,-0.070186,23.000000,7.000000,30935315.197837,40829439.620810,7.329800
127,578,1.250000,0.139509,0.174386,True,0.174248,-0.000138,34.000000,5.000000,41823603.996038,52238178.925250,7.389255
127,578,1.500000,0.139509,0.209263,True,0.174248,-0.035015,34.000000,5.000000,41823603.996038,52238178.925250,7.512173
127,578,2.000000,0.139509,0.279017,True,0.174248,-0.104769,34.000000,5.000000,41823603.996038,52238178.925250,7.617946
1065,405,1.250000,0.101785,0.127232,True,0.128391,0.001159,35.000000,0.000000,30514477.892097,38490652.715866,7.592173
1065,405,1.500000,0.101785,0.152678,True,0.151467,-0.001211,33.000000,4.000000,30514477.892097,45408783.542956,7.600126
1065,405,2.000000,0.101785,0.203571,True,0.151467,-0.052103,33.000000,4.000000,30514477.892097,45408783.542956,7.502908
1063,1139,1.250000,0.076570,0.095713,True,0.088569,-0.007144,12.000000,4.000000,22955113.875835,26552186.191107,7.286610
1063,1139,1.500000,0.076570,0.114855,True,0.088569,-0.026286,12.000000,4.000000,22955113.875835,26552186.191107,7.441537
1063,1139,2.000000,0.076570,0.153140,True,0.088569,-0.064571,12.000000,4.000000,22955113.875835,26552186.191107,7.177998
347,714,1.250000,0.100203,0.125254,True,0.126765,0.001511,29.000000,2.000000,30040173.001513,38003066.962814,7.550190
347,714,1.500000,0.100203,0.150305,True,0.131240,-0.019065,33.000000,0.000000,30040173.001513,39344730.807250,7.759572
347,714,2.000000,0.100203,0.200406,True,0.131240,-0.069167,33.000000,0.000000,30040173.001513,39344730.807250,7.870663
1393,1545,1.250000,0.037442,0.046802,True,0.047607,0.000805,9.000000,1.000000,11224729.007976,14272113.410487,3.225445
1393,1545,1.500000,0.037442,0.056162,True,0.055345,-0.000817,9.000000,5.000000,11224729.007976,16592104.643501,3.355105
1393,1545,2.000000,0.037442,0.074883,True,0.080984,0.006101,12.000000,6.000000,11224729.007976,24278441.110229,3.332600
1223,823,1.250000,0.084921,0.106151,True,0.105527,-0.000624,27.000000,2.000000,25458610.457471,31636291.869765,7.564746
