source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021739,0.027173,True,0.027747,0.000574,2,4,6517043.955048,8318444.930585,6.398280
10028,10010,city,1.500000,0.021739,0.032608,True,0.034184,0.001576,4,4,6517043.955048,10247957.113181,6.113120
10028,10010,city,2.000000,0.021739,0.043477,True,0.047331,0.003854,6,6,6517043.955048,14189597.773722,6.083558
10064,10028,city,1.250000,0.040487,0.050609,True,0.047659,-0.002950,4,6,12137809.573772,14287782.596356,5.336707
10064,10028,city,1.500000,0.040487,0.060731,True,0.060430,-0.000301,2,9,12137809.573772,18116346.055452,5.288448
10064,10028,city,2.000000,0.040487,0.080975,True,0.073138,-0.007837,6,8,12137809.573772,21926143.494534,5.412553
10025,10035,city,1.250000,0.059205,0.074006,True,0.074922,0.000916,9,7,17749164.567322,22460946.504582,5.834121
10025,10035,city,1.500000,0.059205,0.088807,True,0.087771,-0.001037,3,17,17749164.567322,26312954.698938,5.794624
10025,10035,city,2.000000,0.059205,0.118410,True,0.100266,-0.018144,5,17,17749164.567322,30058904.389547,5.789213
10179,10001,city,1.250000,0.056061,0.070076,True,0.071353,0.001276,4,12,16806649.590705,21390954.341994,3.248664
10179,10001,city,1.500000,0.056061,0.084091,True,0.084686,0.000595,5,13,16806649.590705,25388346.817976,3.446190
10179,10001,city,2.000000,0.056061,0.112122,True,0.098041,-0.014081,7,13,16806649.590705,29391834.459867,3.302797
10883,10255,city,1.250000,0.052103,0.065129,True,0.078961,0.013832,6,7,15620215.431370,23671961.551097,2.327395
10883,10255,city,1.500000,0.052103,0.078155,True,0.078961,0.000806,6,7,15620215.431370,23671961.551097,2.357478
10883,10255,city,2.000000,0.052103,0.104207,True,0.103550,-0.000657,4,14,15620215.431370,31043419.173561,2.306802
10300,10065,city,1.250000,0.008211,0.010263,True,0.016776,0.006513,2,1,2461452.853382,5029396.922324,1.792876
10300,10065,city,1.500000,0.008211,0.012316,True,0.016776,0.004460,2,1,2461452.853382,5029396.922324,1.852218
10300,10065,city,2.000000,0.008211,0.016421,True,0.016776,0.000355,2,1,2461452.853382,5029396.922324,1.787637
