source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s,error
10028,10010,city,1.250000,0.021353,0.026691,True,0.027763,0.001072,2.000000,4.000000,6401357.185971,8323138.020306,5.130260,
10028,10010,city,1.500000,0.021353,0.032029,True,0.030348,-0.001681,3.000000,4.000000,6401357.185971,9098156.711268,5.323385,
10028,10010,city,2.000000,0.021353,0.042705,True,0.046883,0.004178,6.000000,6.000000,6401357.185971,14055269.490562,5.084475,
10064,10028,city,1.250000,0.040097,0.050121,True,0.051101,0.000980,1.000000,8.000000,12020714.322505,15319650.548199,1.931137,
10064,10028,city,1.500000,0.040097,0.060145,True,0.060359,0.000213,2.000000,9.000000,12020714.322505,18095069.919707,2.015599,
10064,10028,city,2.000000,0.040097,0.080194,True,0.070869,-0.009325,3.000000,10.000000,12020714.322505,21245892.408750,1.784479,
10025,10035,city,1.250000,0.059224,0.074030,True,0.070745,-0.003286,4.000000,12.000000,17754953.471448,21208711.315600,4.396201,
10025,10035,city,1.500000,0.059224,0.088836,True,0.088168,-0.000668,5.000000,15.000000,17754953.471448,26432172.330849,4.370351,
10025,10035,city,2.000000,0.059224,0.118448,True,0.097208,-0.021241,6.000000,16.000000,17754953.471448,29142112.940088,4.462058,
10179,10001,city,1.250000,0.055751,0.069689,True,0.070586,0.000897,4.000000,12.000000,16713743.444626,21161057.539642,3.243306,
10179,10001,city,1.500000,0.055751,0.083627,True,0.083838,0.000212,6.000000,14.000000,16713743.444626,25134116.601498,3.283589,
10179,10001,city,2.000000,0.055751,0.111502,True,0.084196,-0.027307,5.000000,15.000000,16713743.444626,25241200.701753,3.276473,
10883,10255,city,1.250000,0.051711,0.064639,True,0.079514,0.014875,2.000000,11.000000,15502518.420396,23837620.883863,2.695143,
10883,10255,city,1.500000,0.051711,0.077566,True,0.079514,0.001947,2.000000,11.000000,15502518.420396,23837620.883863,2.444646,
10883,10255,city,2.000000,0.051711,0.103422,True,0.104169,0.000747,3.000000,15.000000,15502518.420396,31229016.038230,2.737628,
10300,10065,city,1.250000,0.007005,0.008756,False,,,,,2099929.449372,,2.801206,
10300,10065,city,1.250000,,,False,,,,,,,,'NoneType' object is not iterable
10300,10065,city,1.500000,0.007005,0.010507,True,0.019813,0.009306,3.000000,2.000000,2099929.449372,5939837.383871,2.982651,
10300,10065,city,2.000000,0.007005,0.014009,True,0.019813,0.005804,3.000000,2.000000,2099929.449372,5939837.383871,2.845615,
